ID,URL,Title,body,Country,Group,Protest,Protest_Type,Discrim,Discrim_Type
6420,http://worldno1news.com/09/19/dalit-labourer-pleads-for-justice-ramdas-athawale-talks-to-state-administration/,Builder threatens dalit labourer on phone: Victim flees to Delhi to meet Athawale,,none,none,0,,,
6437,https://www.thehansindia.com/andhra-pradesh/visakhapatnam-police-arrests-nutan-naidu-in-dalit-youth-tonsure-case-643739,Visakhapatnam: Police arrests Nutan Naidu in Dalit youth tonsure case,,IND,dalit,0,,,
6442,https://www.ndtv.com/cities/dalit-man-65-beaten-up-along-with-his-son-forced-to-drink-urine-in-uttar-pradesh-2309449,"Dalit Man, 65, Beaten Up Along With His Son, Forced To Drink Urine In Uttar Pradesh",,IND,dalit,0,,,
6443,https://mediaindia.eu/society/dalit-conversion-buddhism-up/,UP Government pressure on Ghaziabad dalit converts - Media India Group,,IND,dalit,0,,,
6445,https://www.ndtv.com/india-news/dalit-woman-gang-raped-at-gunpoint-in-up-2312114,Dalit Woman Gang Raped At Gunpoint In UP,,IND,dalit,0,,,
6465,https://www.sangbadpratidin.in/india/the-marriage-of-a-36-year-old-dalit-mla-to-a-19-year-old-student-has-triggered-a-row-in-tamil-nadu/,The marriage of a 36-year-old Dalit MLA to a 19-year-old student has triggered a row in Tamil Nadu |Sangbad Pratidin,,none,none,0,,,
6472,https://www.indiatimes.com/news/india/dalit-panchayat-chief-forced-to-sit-on-floor-secretary-suspended-524889.html,"Dalit Panchayat Chief In Tamil Nadu Village Forced To Sit On Floor, Secretary Suspended",,IND,dalit,0,,,
6480,https://thewire.in/women/dalit-woman-gang-raped-in-bihar-child-dies-after-both-thrown-into-a-canal,"Dalit Woman Gang-Raped in Bihar, Child Dies After Both Thrown into a Canal Â ",,IND,dalit,0,,,
6481,https://www.newslaundry.com/2020/10/01/our-fault-is-that-she-was-dalit-in-hathras-a-forced-cremation-a-media-circus-and-a-life-of-humiliation,"â€˜Our fault is that she was Dalitâ€™: In Hathras, a forced cremation, a media circus, and a life of humiliation",,IND,dalit,1,3,,
6488,https://www.timesnownews.com/india/article/casteism-in-uttar-pradesh-65-year-old-dalit-man-assaulted-forced-to-drink-urine/666529,"Casteism in Uttar Pradesh: 65-year-old Dalit man assaulted, forced to drink urine",,IND,dalit,0,,,
6491,https://asianewsobserver.com/2020/10/08/5-year-old-dalit-girl-allegedly-raped-by-uncle-in-up-accused-tried-to-apply-mobil-oil-to-stop-the-girls-excessive-bleeding/,"5-year-old Dalit girl allegedly raped by uncle in UP, accused tried to apply Mobil oil to stop the girlâ€™s excessive bleeding",,IND,dalit,0,,,
6492,https://www.thequint.com/news/india/three-dalit-sisters-attacked-with-acid-in-uttar-pradeshs-gonda,"Three Dalit Sisters Attacked with â€˜Acidâ€™ in Gonda, Accused Nabbed",,IND,dalit,0,,,
6493,https://thewire.in/caste/gujarat-police-dalit-girl-assaulted,Gujarat: Police Book Family of Dalit Woman Allegedly Assaulted By Patel Men,,IND,dalit,0,,,
6498,https://www.telegraphindia.com/india/cry-in-delhi-dalit-lives-matter-yogi-must-go/cid/1793748,"Cry in Delhi: Dalit lives matter, Yogi must go",,IND,dalit,1,3,,
6518,https://timesofindia.indiatimes.com/city/bengaluru/girl-in-love-with-dalit-killed-by-father-cousins/articleshow/78712691.cms,"Karnataka: Girl in love with dalit killed by father, cousins | Bengaluru News - Times of India",,IND,dalit,0,,,
6525,https://www.indiatimes.com/entertainment/celebs/dalit-activists-call-out-bollywood-for-not-acknowledging-the-role-of-caste-in-the-gang-rapes-524259.html,Dalit Activists Call Out Bollywood For Not Acknowledging The Role Of Caste In The Gang Rapes,,IND,dalit,1,1,,
6533,https://scroll.in/latest/976187/dalit-lawyer-from-gujarat-killed-over-anti-brahmin-social-media-posts-finds-investigation,Dalit lawyer from Gujarat was killed over â€˜anti-Brahminâ€™ social media posts,,IND,dalit,0,,,
6538,https://www.sangbadpratidin.in/india/again-dalit-girl-raped-killed-at-barabanki-in-uttarpradesh/,"Bengali news: Again Dalit girl raped, killed at Barabanki in UttarPradesh | Sangbad Pratidin",,none,none,0,,,
6539,https://thefederal.com/states/south/tamil-nadu/29-dalit-families-ostracised-in-tns-krishnagiri-for-not-withdrawing-case-against-caste-hindus/,29 Dalit families ostracised in TN's Krishnagiri for not withdrawing case - The Federal,,IND,dalit,1,2,,
6545,https://maktoobmedia.com/2020/10/04/they-arent-safe-here-chandrashekhar-azad-after-meeting-with-dalit-womans-family/,They aren't safe here: Chandrashekhar Azad after meeting with Dalit womanâ€™s family - Maktoob,,IND,dalit,0,,,
6550,https://www.deccanherald.com/national/south/dalit-panchayat-president-made-to-sit-on-floor-during-meetings-in-tamil-nadu-899973.html,Dalit panchayat president made to sit on floor during meetings in Tamil Nadu,,IND,dalit,1,1,,
6555,https://www.opindia.com/2020/10/dalit-woman-gang-raped-in-rajasthan-video-of-it-circulated-by-accused/,"Dalit woman gang-raped in Rajasthan, video of it circulated by accused",,IND,dalit,0,,,
6560,https://www.thenewsminute.com/article/telangana-dalit-girl-set-fire-resisting-rape-bid-allegedly-employer-s-son-134638,Telangana Dalit girl set on fire for resisting rape bid allegedly by employerÃ¢Â€Â™s son,,IND,dalit,0,,,
6562,https://www.bbc.co.uk/programmes/w3cszcnj,"BBC World Service - The Real Story, India's Dalits: Fighting for justice",,IND,dalit,0,,,
6568,https://www.timesnownews.com/india/article/up-14-year-old-dalit-girls-face-disfigured-head-smashed-with-stones/661028,"UP: 14-year-old Dalit girl's face disfigured, head smashed with stones",,IND,dalit,0,,,
