ID,URL,Title,body,Country,Group,Protest,Protest_Typ,Discrim,Discrim_Type
5176,https://www.okayafrica.com/african-football-stars-players-show-support-for-justice-for-george-floyd/,'Unity Is Strength': African Football Stars Show Support for #JusticeforGeorgeFloyd,,none,none,1,2,1,1
5189,https://www.cincinnati.com/story/news/2020/06/03/african-american-boys-george-floyd-race-talk-police-custody-protest/3124990001/,African American boys George Floyd race talk police custody protest,,none,none,1,1,1,1
5195,https://www.youtube.com/watch?v=9RYE9rdAPo0,AMERICAN GODS - MR  NANSI'S SPEECH TO AFRICAN GODS,,none,none,0,0,0,0
5226,https://www.pulse.ng/news/local/jet-li-on-supporting-african-entrepreneurs/vjylh22,Jet Li on supporting African entrepreneurs,,none,none,0,0,0,0
5231,https://www.youtube.com/watch?v=rtAthSt1q3M,ANTHONY T BROWDER talks about the African roots of Greek philosophy,,none,none,0,0,0,0
5243,https://e.vnexpress.net/news/news/south-african-man-killed-in-hcmc-road-crash-4115426.html,South African man killed in HCMC road crash - VnExpress International,,none,none,0,0,0,0
5253,https://www.graphic.com.gh/international/international-news/china-to-cancel-interest-free-loans-to-african-nations.html,China to cancel interest-free loans to African nations,,none,none,0,0,0,0
5291,https://www.youtube.com/watch?v=OdpfaqTZNWM,KUKUWAÂ® AFRICAN DANCE LIVE - FEELING ALIVE 15 MIN,,none,none,0,0,0,0
5331,https://www.youtube.com/watch?v=WCjRAdAIfqM,Djamou Sangare - Senegal (African Mix) MIDH 017,,none,none,0,0,0,0
5356,https://www.business-standard.com/content/press-releases-ani/rasha-kelej-creates-a-song-by-singers-from-11-african-countries-to-support-medical-workers-during-coronavirus-battle-120060401234_1.html,Rasha Kelej creates a song by singers from 11 African countries to support medical workers during coronavirus battle,,none,none,0,0,0,0
5365,https://www.psychologytoday.com/za/blog/culturally-speaking/201111/why-african-americans-avoid-psychotherapy,Why African Americans Avoid Psychotherapy,,none,none,0,0,1,2
5380,https://www.aarp.org/health/conditions-treatments/info-2020/premature-cancer-deaths-african-americans.html,Cancer Deaths Lead to Lost Earnings for African Americans,,none,none,0,0,1,2
5414,https://theafricanhistory.com/800,Saartijie Baartman from Khoisan was exhibited for her large buttocks in Europe | The African History,,none,black,0,0,0,0
5461,https://www.vodafone.com/perspectives/blog/digital-platforms-have-an-important-role,Digital platforms have an important role in the age of new emergencies in African agriculture,,none,none,0,0,0,0
5480,https://www.washingtonpost.com/world/africa/beyonce-black-is-king-africa-backlash/2020/07/08/cfaa2dd2-c079-11ea-864a-0dd31b9d6917_story.html,Beyonce Black is King: Backlash over African stereotypes is swift,,none,none,0,0,0,0
5494,https://www.israelnationalnews.com/News/News.aspx/283858,Kanye West: Israel should pay African women $1 million per child,,none,none,0,0,0,0
5550,https://www.standard.co.uk/news/world/zindzi-mandela-nelson-mandela-daughter-dies-a4496306.html,Zindzi Mandela dead: Daughter of former South African leader Nelson Mandela dies aged 59,,none,none,0,0,0,0
5552,https://www.sapeople.com/2020/07/31/watch-kruger-staff-at-satara-do-jerusalemadancechallenge/,WATCH Staff at Kruger Park's Satara Camp #JerusalemaDanceChallenge - SAPeople - Your Worldwide South African Community,,none,none,0,0,0,0
5570,https://www.abc.net.au/news/2020-07-31/racism-directed-at-women-charged-with-coronavirus-border-fraud/12510910,Racism directed at women charged with coronavirus border fraud ostracises African Australians,,none,none,0,0,1,3
5618,https://www.okayafrica.com/netflix-new-south-african-horror-film-8-review/,Netflixâ€™s â€˜8â€™ Is a Win for South African Horror,,none,none,0,0,0,0
5662,https://sainc.regency.global/news/gidz-are-fueling-the-south-african-economy-creating-breeding-grounds-for-opportunity/,GIDZ Are Fueling The South African Economy and Are Breeding Grounds for Opportunity,,none,none,0,0,0,0
5730,https://news.sky.com/story/coronavirus-south-african-communities-are-buckling-under-covid-19-storm-12028997,Coronavirus: South African communities are buckling under COVID-19 'storm',,none,none,0,0,0,0
5734,https://www.foxnews.com/opinion/trump-reelection-appeal-black-voters-david-limbaugh,"David Limbaugh: To win reelection, Trump must make a direct appeal to African American voters",,none,none,0,0,1,1
5743,https://www.youtube.com/watch?v=artD19Gg2HE,2020 Ankara And Aso-Ebi Special: Super Stylish And Most Flawless African Print Dresses For Ladies,,none,none,0,0,0,0
5755,https://theliberal.ie/leader-of-violent-african-gang-in-galway-jailed-for-racially-motivated-assault/,Leader of violent African gang in Galway jailed for racially motivated assault,,none,none,0,0,1,1
5782,https://www.thesouthafrican.com/lifestyle/food/recipes/peppermint-crisp-tart-a-traditionally-south-african-favourite/,"Peppermint Crisp Tart, a traditional South African favourite!",,none,none,0,0,0,0
5811,https://www.theguardian.com/world/2020/jul/10/uks-windrush-scandal-seeing-it-lose-influence-across-african-continent,UK's Windrush scandal seeing it lose influence across African continent,,UK,none,0,0,0,0
5821,https://anewspost.com/kanye-west-said-israel-should-pay-african-mothers-1-million-per-child/,Kanye West Said Israel Should Pay African Mothers $1 Million Per Child,,none,none,0,0,0,0
5840,https://www.theepochtimes.com/5-dead-40-arrested-after-attack-at-south-african-mega-church-police_3421334.html,"5 Dead, 40 Arrested After Attack at South African Mega-Church: Police",,none,none,0,0,0,0
5868,https://www.emmanuelsblog.com.ng/2020/07/forgiveness-should-be-both-ways-ruth.html,"Forgiveness Should Be Both Ways, Ruth Kadiri Tells African Men",,none,none,0,0,0,0
5906,https://newsaf.cgtn.com/news/2020-07-19/South-African-farmers-bash-repeal-of-state-of-disaster-for-drought-SeCi4xYbSg/index.html,South African farmers bash repeal of state of disaster for drought,,none,none,0,0,0,0
5958,https://www.spreaker.com/user/planetsport/planet-sport-football-africa-375-3-to-4-,"3 July: Big changes to the African football calendar, new women's Champions League + EPL latest",,none,none,0,0,0,0
5962,http://www.xinhuanet.com/english/2020-07/11/c_139205399.htm,"COVID-19 kills 36, infects over 5,000 S. African police officers",,none,none,0,0,0,0
5971,https://www.youtube.com/watch?v=DFMvKmBh0_o,A Warning to all African Leaders on Bill Gates Vaccines,,none,none,0,0,0,0
5981,https://www.youtube.com/watch?v=XxZa5FSS-s8,Celibirdie Bok Off - Max the Moluccan vs. Einstein the Talking Texan African Grey,,none,none,0,0,0,0
5986,https://100percentfedup.com/national-museum-of-african-american-history-and-culture-warns-of-whiteness-and-white-culture/,National Museum of African American History and Culture Warns Of 'Whiteness and White Culture',,none,none,0,0,1,1
6001,https://www.youtube.com/watch?v=zlQFxM5SzZ0,"African nature sounds | Biyamiti Bush Camp #1, Kruger National Park - Night time safari sounds ïŒ146",,none,none,0,0,0,0
6011,https://arttimes.co.za/in-remembrance-to-antoinette-murdoch-1972-2020/,In remembrance of Antoinette Murdoch 1972 â€“ 2020 - South African Art Times:,,none,none,0,0,0,0
6018,https://healthimpactnews.com/2020/african-resistance-building-bill-gates-may-find-out-africans-are-not-so-compliant-with-his-population-reduction-efforts-through-vaccination/,African Resistance Building â€“ Bill Gates May Find Out Africans are Not So Compliant with His Population Reduction Efforts through Vaccination,,none,none,0,0,0,0
6019,https://www.independentsentinel.com/museum-of-african-american-history-culture-defines-whiteness-its-racist/,Museum of African American History & Culture defines 'whiteness' & it's racist,,none,none,0,0,0,0
6040,https://basextra.com/2020/07/07/two-year-old-girl-allegedly-raped-while-in-coronavirus-isolation-ward-at-south-african-hospital/,Two-year-old girl allegedly raped while in Coronavirus isolation ward' at South African hospital - BaseXtra,,none,none,0,0,0,0
6048,https://www.jbklutse.com/uber-partners-with-moove/,Uber partners with Moove: Easier vehicle ownership for African drivers,,none,none,0,0,0,0
6052,https://afrotinz.com/the-best-dressed-african-celebrities-july2020-edition/,The Best Dressed African Celebrities â€“ #July2020 Edition,,none,none,0,0,0,0
6083,https://news.yahoo.com/bronx-zoo-operator-apologizes-racist-173155180.html,Bronx Zoo operator apologizes for racist display of African man in 1906,,none,none,0,0,1,1
6107,https://pnc.mediaroom.com/2020-06-18-PNC-Commits-More-Than-1-Billion-To-Help-End-Systemic-Racism-And-Support-Economic-Empowerment-Of-African-Americans-And-Low-And-Moderate-Income-Communities?linkId=93760286,PNC Commits More Than $1 Billion To Help End Systemic Racism And Support Economic Empowerment Of African Americans And Low,,none,none,0,0,1,1
