ID,URL,Title,body,Country,Group,Protest,Protest_Type,Discrim,Discrim_Type,
1068,https://www.eturbonews.com/542830/portuguese0artist0santiago0ribeiro0exhibits0in0the0czech0republic/,Portuguese artist Santiago Ribeiro exhibits in the Czech Republic,,CZE,none,0,0,0,0,
1069,https://thetravellingfool.com/the0traveling0fool0episode020pilsen0czech0republic/,"The Traveling Fool Episode 2 / Pilsen, Czech Republic",,CZE,none,0,0,0,0,
1075,https://sommelierschoiceawards.com/en/blog/insights01/beyond0bordeaux0europes0most0exciting0wine0regions0from0the0south0of0england0to0the0czech0republic00265.htm,"Beyond Bordeaux: Europe’s Most Exciting Wine Regions, from the South of England to the Czech Republic",,CZE,none,0,0,0,0,
1086,https://www.youtube.com/watch?v=vwGMvfGd1ek,"Abbath 0 Tyrants (Live in Brno, Czech Republic 2020)",,none,none,0,0,0,0,
1088,https://www.czechtourism.com/n/czech0spas0to0be0discovered/,Czech Republic 0 Czech Spas Waiting to Be Discovered,,CZE,none,0,0,0,0,
1100,https://www.youtube.com/watch?v=cJUFmmT98dA,HIGHLIGHTS Bronze Medal Game: Czech Republic v Argentina 0 U018 Men's World Cup,,CZE,none,0,0,0,0,
1158,https://eurovoix.com/2020/02/04/czech0republic0kemama0to0undergo0revamp0ahead0of0rotterdam/,Czech Republic: 'Kemama' To Undergo Revamp Ahead of Rotterdam 0 Eurovoix,,CZE,none,0,0,0,0,
1169,https://www.beeryeti.com/having0a0beer0bath0of0pilsen0in0pilsen0czech0republic/,"Having a Beer Bath of Pilsen (In Pilsen), Czech Republic 0 BeerYeti.com 0 Beer Yeti Home",,CZE,none,0,0,0,0,
1174,https://padkos.co/best0cities0to0visit0in0the0czech0republic/,7 Best Cities to visit in the Czech Republic,,CZE,none,0,0,0,0,
1257,https://www.youtube.com/watch?v=FYrrjb40nFE,"Prague, Czech Republic | EUROPE TRIP NOVEMBER 2019|Part |||",,CZE,none,0,0,0,0,
1259,https://cz.boell.org/en/slovak020200elections,"Slovak 2020 General Elections: Analyses of Parliament Scenario(s) | Heinrich Böll Stiftung | Prague Office 0 Czech Republic, Slovakia, Hungary",,none,none,0,0,0,0,
1280,https://czechtourism.com/c/lipno0tree0top0walk/,Czech Republic 0 Lipno treetop walk,,CZE,none,0,0,0,0,
1288,https://www.youtube.com/watch?v=pd9E1ZA8yxA,"Getting my visa, ride how 2 go in ministry office:OFW Czech Republic",,CZE,none,0,0,0,0,
1305,https://woltersworld.com/visit0czech0republic0ten0things0that0will0shock0you/,Visit Czech Republic: Ten Things That Will Shock You 0 Wolters World,,CZE,czech,0,0,0,0,
1311,http://www.bernieshoot.fr/2020/02/best0luxury0hotel0eldem0czech0republic02020.html,The Best Luxury Hotel in the Czech Republic 2020 0 Bernieshoot blogueur chroniqueur influenceur toulousain,,CZE,none,0,0,0,0,
1357,https://www.youtube.com/watch?v=X02oayWJ6Mo,Cabride Liberec 0 Železný Brod (Czech Republic),,CZE,none,0,0,0,0,
1372,https://www.youtube.com/watch?v=vMOYIwqZOA0,Protijed / Pushteek Fest 2 / Kabinet Múz / Brno / Czech Republic / 2020,,CZE,none,0,0,0,0,
1418,https://9gag.com/gag/a9R4z2L/also-applies-to-germany-czech-republic-the-republic-or-ireland-russia-belgium-and-poland,"Also applies to: Germany , czech Republic, the Republic or Ireland, Russia, Belgium and Poland.",,CZE,none,0,0,0,0,
1461,https://www.fxstreet.com/news/czech-republic-cnb-unexpectedly-raises-interest-rates-danske-bank-202002071116,Czech Republic: CNB unexpectedly raises interest rates – Danske Bank,,CZE,none,0,0,0,0,
1496,https://wiki.zfin.org/pages/viewpage.action?pageId=145687245,"11th European Zebrafish Meeting (Prague, Czech Republic",,CZE,none,0,0,0,0,
1582,https://www.johnnybet.com/app/lord-tuga80/posts/lithuania-czech-republic-1424265,"Lithuania vs Czech Republic Betting Predictions, Tips, Odds, Previews",,CZE,none,0,0,0,0,
