ID,URL,Title,body,Country,Group,Protest,Protest_Typ,Discrim,Discrim_Type
7587,https://www.ecowatch.com/mining-australia-indigenous-rio-tinto-2647585147.html,"Mining Company CEO Forced to Resign After Blasting of 46,000-Year-Old Aboriginal Site - EcoWatch",,AUS,aboriginal,1,1,0,0
7845,https://www.sbs.com.au/nitv/article/2020/09/29/criticism-prompts-netball-australia-commit-improvements-indigenous-players,Criticism prompts Netball Australia to commit to improvements for Indigenous players,,AUS,aboriginal,1,1,1,2
8343,https://www.bbc.co.uk/news/av/world-australia-54383750,Ancient Aboriginal art 'unlike anything seen before',,AUS,aboriginal,0,0,0,0
8396,https://www.aljazeera.com/news/2020/10/17/indigenous-leader-demands-protection-after-lobster-pound-blaze,Indigenous leader demands protection after lobster pound blaze,,none,none,1,1,0,0
8470,https://www.watoday.com.au/national/western-australia/harry-nannup-refused-bail-after-police-lay-more-child-sex-charges-20201022-p567qy.html,Aboriginal elder Harry Nannup refused bail after police hit him with more child sex charges,,AUS,none,0,0,0,0
8583,https://www.theguardian.com/australia-news/2020/oct/30/australian-government-knows-very-little-about-whether-money-spent-on-aboriginal-programs-works,Australian government knows 'very little' about whether money spent on Aboriginal programs works,,AUS,aboriginal,0,0,1,1
8586,https://www.aclu.org/podcast/photographer-josue-rivas-indigenous-representation-ep-123,Photographer Josue Rivas on Indigenous Representation (ep. 123),,none,none,0,0,0,0
8663,https://www.bbc.com/news/av/world-australia-54383750,Ancient Aboriginal art 'unlike anything seen before',,AUS,aboriginal,0,0,0,0
8675,https://montrealgazette.com/news/local-news/kahnawake-convoy-shows-support-for-indigenous-fishers-in-nova-scotia,Kahnawake convoy shows support for Indigenous fishers in Nova Scotia,,none,none,1,2,0,0
9180,https://www.sbs.com.au/news/meet-the-young-lawyer-hoping-to-one-day-become-australia-s-indigenous-affairs-minister,Meet the young lawyer hoping to one day become Australia's Indigenous affairs minister,,AUS,aboriginal,1,2,0,0
9312,https://www.abc.net.au/news/2020-11-22/indigenous-elder-wants-indigenous-culture-in-national-cirriculum/12895212,"Indigenous culture should be in Australian school curriculum, elder says",,AUS,aboriginal,0,0,1,2
9420,https://www.sbs.com.au/news/in-naidoc-week-meet-the-indigenous-rangers-being-given-the-skills-to-save-lives,"In NAIDOC Week, meet the Indigenous rangers being given the skills to save lives",,AUS,aboriginal,0,0,0,0
9805,https://www.languageonthemove.com/indigenous-language-denialism-in-australia/,Indigenous language denialism in Australia,,AUS,aboriginal,0,3,1,3
9850,https://www.bbc.co.uk/news/world-australia-54912720,Australia Post to support use of Aboriginal place names on mail,,AUS,aboriginal,1,1,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
